,carpeta_numero,nombre_imagen,textura
60,2797050665253256957,"[['2022-03-19_01-47-24_UTC_10.jpg'], ['2797050665253256957_1.jpg'], ['2797050665253256957_2.jpg'], ['2797050665253256957_3.jpg'], ['2797050665253256957_4.jpg'], ['2797050665253256957_5.jpg'], ['2797050665253256957_6.jpg'], ['2797050665253256957_7.jpg'], ['2797050665253256957_8.jpg'], ['2797050665253256957_9.jpg']]","[[['print']], [['print']], [['print']], [['print']], [['print']], [['floral', 'print']], [['floral', 'print']], [['print']], [['floral', 'print']], [['floral', 'print']]]"
61,2799230326620051367,"[['2022-03-22_01-58-00_UTC_9.jpg'], ['2799230326620051367_1.jpg'], ['2799230326620051367_2.jpg'], ['2799230326620051367_3.jpg'], ['2799230326620051367_4.jpg'], ['2799230326620051367_5.jpg'], ['2799230326620051367_6.jpg'], ['2799230326620051367_7.jpg'], ['2799230326620051367_8.jpg']]","[[['floral']], [['print']], [['floral', 'print']], [['floral']], [['floral']], [['print']], [['print']], [['floral', 'print']], [['floral']]]"
62,2816532716942986616,"[['2022-04-14_22-54-45_UTC_10.jpg'], ['2816532716942986616_1.jpg'], ['2816532716942986616_2.jpg'], ['2816532716942986616_3.jpg'], ['2816532716942986616_4.jpg'], ['2816532716942986616_5.jpg'], ['2816532716942986616_6.jpg'], ['2816532716942986616_7.jpg'], ['2816532716942986616_8.jpg'], ['2816532716942986616_9.jpg']]","[[['print']], [['print']], [['print']], [['floral', 'print']], [['print']], [['floral', 'print']], [['print']], [['print']], [['floral']], [['floral', 'print']]]"
63,2818698989294581239,"[['2022-04-17_22-38-45_UTC_2.jpg'], ['2818698989294581239_1.jpg']]","[[['print']], [['floral']]]"
64,2818707041376570478,"[['2022-04-17_22-54-45_UTC_2.jpg'], ['2818707041376570478_1.jpg']]","[[['floral']], [['floral', 'print']]]"
65,2818707830694232052,"[['2022-04-17_22-56-19_UTC_2.jpg'], ['2818707830694232052_1.jpg']]","[[['print']], [['floral']]]"
66,2831583364470560714,"[['2022-05-05_17-17-42_UTC_3.jpg'], ['2831583364470560714_1.jpg'], ['2831583364470560714_2.jpg']]","[[['floral']], [['floral']], [['floral']]]"
67,2833857126012010980,"[['2022-05-08_20-35-16_UTC_5.jpg'], ['2833857126012010980_1.jpg'], ['2833857126012010980_2.jpg'], ['2833857126012010980_3.jpg'], ['2833857126012010980_4.jpg']]","[[['floral', 'print']], [['print']], [['floral', 'print']], [['print']], [['floral']]]"
68,2839295274344150071,[['2839295274344150071.jpg']],"[[['floral', 'print']]]"
69,2840552574562660769,"[['2022-05-18_02-17-56_UTC_3.jpg'], ['2840552574562660769_1.jpg'], ['2840552574562660769_2.jpg']]","[[['floral', 'print']], [['floral', 'print']], [['floral']]]"
