,carpeta_numero,nombre_imagen,prediccion
39,2634639755204961821,"[['2021-08-06_23-45-55_UTC_2.jpg'], ['2634639755204961821_1.jpg']]","[['Dress'], ['Dress']]"
40,2651275434039107981,"[['2021-08-29_22-38-02_UTC_3.jpg'], ['2651275434039107981_1.jpg'], ['2651275434039107981_2.jpg']]","[['Tee'], ['Jacket'], ['Tee']]"
41,2662156614630491390,"[['2021-09-13_22-57-00_UTC_2.jpg'], ['2662156614630491390_1.jpg']]","[['Skirt'], ['Jacket']]"
42,2666508193378793407,"[['2021-09-19_23-02-49_UTC_4.jpg'], ['2666508193378793407_1.jpg'], ['2666508193378793407_2.jpg'], ['2666508193378793407_3.jpg']]","[['Jacket'], ['Dress'], ['Shorts'], ['Blouse']]"
43,2668694323704583889,"[['2021-09-22_23-26-16_UTC_1.jpg'], ['2021-09-22_23-26-16_UTC_2.jpg'], ['2668694323704583889_1.jpg']]","[['Sweater'], ['Sweater'], ['Sweater']]"
44,2681747289365554019,"[['2021-10-10_23-40-10_UTC_3.jpg'], ['2681747289365554019_1.jpg'], ['2681747289365554019_2.jpg']]","[['Tee'], ['Tee'], ['Jeans']]"
45,2692644429872810407,"[['2021-10-26_00-30-51_UTC_4.jpg'], ['2692644429872810407_1.jpg'], ['2692644429872810407_2.jpg'], ['2692644429872810407_3.jpg']]","[['Tee'], ['Tee'], ['Tee'], ['Jacket']]"
46,2707861172408896097,"[['2021-11-16_00-23-48_UTC_3.jpg'], ['2707861172408896097_1.jpg'], ['2707861172408896097_2.jpg']]","[['Jeans'], ['Dress'], ['Shorts']]"
47,2712986644771892100,"[['2021-11-23_02-07-12_UTC_3.jpg'], ['2712986644771892100_1.jpg'], ['2712986644771892100_2.jpg']]","[['Jeans'], ['Tee'], ['Tee']]"
48,2715057531604136271,"[['2021-11-25_22-41-41_UTC_5.jpg'], ['2715057531604136271_1.jpg'], ['2715057531604136271_2.jpg'], ['2715057531604136271_3.jpg'], ['2715057531604136271_4.jpg']]","[['Tee'], ['Tee'], ['Tee'], ['Shorts'], ['Jeans']]"
49,2720914159385458048,"[['2021-12-04_00-37-45_UTC_4.jpg'], ['2720914159385458048_1.jpg'], ['2720914159385458048_2.jpg'], ['2720914159385458048_3.jpg']]","[['Jeans'], ['Tee'], ['Sweater'], ['Sweater']]"
50,2737603284691861106,"[['2021-12-27_01-16-04_UTC_4.jpg'], ['2737603284691861106_1.jpg'], ['2737603284691861106_2.jpg'], ['2737603284691861106_3.jpg']]","[['Blouse'], ['Dress'], ['Dress'], ['Blouse']]"
51,2742629501300328761,"[['2742629501300328761_1.jpg'], ['2742629501300328761_2.jpg']]","[['Dress'], ['Jacket']]"
52,2751342500118627886,"[['2022-01-15_00-13-26_UTC_2.jpg'], ['2751342500118627886_1.jpg']]","[['Tee'], ['Dress']]"
53,2754189577542656828,"[['2022-01-18_22-30-04_UTC_2.jpg'], ['2754189577542656828_1.jpg']]","[['Jacket'], ['Sweater']]"
54,2756430132454560633,[['2756430132454560633.jpg']],[['Blouse']]
55,2764372575868968714,"[['2022-02-01_23-41-52_UTC_2.jpg'], ['2764372575868968714_1.jpg']]","[['Shorts'], ['Skirt']]"
56,2771633704278362182,"[['2022-02-12_00-08-26_UTC_2.jpg'], ['2771633704278362182_1.jpg']]","[['Skirt'], ['Dress']]"
57,2778160435071983735,"[['2022-02-21_00-15-53_UTC_2.jpg'], ['2778160435071983735_1.jpg']]","[['Tee'], ['Tee']]"
58,2790445467408937524,"[['2022-03-09_23-04-03_UTC_4.jpg'], ['2790445467408937524_1.jpg'], ['2790445467408937524_2.jpg'], ['2790445467408937524_3.jpg']]","[['Tee'], ['Tee'], ['Tee'], ['Tee']]"
59,2799873511433429552,"[['2022-03-22_23-15-53_UTC_2.jpg'], ['2799873511433429552_1.jpg']]","[['Jacket'], ['Jacket']]"
60,2813652433625719991,"[['2022-04-10_23-32-09_UTC_2.jpg'], ['2813652433625719991_1.jpg']]","[['Tee'], ['Blouse']]"
61,2817244591784973111,"[['2022-04-15_22-29-07_UTC_3.jpg'], ['2817244591784973111_1.jpg'], ['2817244591784973111_2.jpg']]","[['Skirt'], ['Tee'], ['Dress']]"
62,2829639399257466097,"[['2022-05-03_00-55-24_UTC.jpg'], ['2829639399257466097.jpg']]","[['Blouse'], ['Blouse']]"
63,2830333368396370656,"[['2022-05-03_23-54-11_UTC_2.jpg'], ['2830333368396370656_1.jpg']]","[['Tee'], ['Tee']]"
64,2850625285139773317,"[['2022-05-31_23-50-36_UTC_2.jpg'], ['2850625285139773317_1.jpg']]","[['Tee'], ['Shorts']]"
65,2860799399757574974,"[['2022-06-15_00-44-45_UTC_2.jpg'], ['2860799399757574974_1.jpg']]","[['Shorts'], ['Tee']]"
66,2862218580977605221,"[['2022-06-16_23-44-25_UTC_3.jpg'], ['2862218580977605221_1.jpg'], ['2862218580977605221_2.jpg']]","[['Blouse'], ['Tee'], ['Dress']]"
67,2866584614287253309,"[['2022-06-23_00-18-57_UTC_2.jpg'], ['2866584614287253309_1.jpg']]","[['Tee'], ['Top']]"
68,2889065040343795120,"[['2022-07-24_00-43-32_UTC_2.jpg'], ['2889065040343795120_1.jpg']]","[['Tee'], ['Shorts']]"
69,2891198165848977677,"[['2022-07-26_23-21-41_UTC_2.jpg'], ['2891198165848977677_1.jpg']]","[['Top'], ['Sweater']]"
70,2895606885286694223,"[['2022-08-02_01-21-01_UTC_3.jpg'], ['2895606885286694223_1.jpg'], ['2895606885286694223_2.jpg']]","[['Dress'], ['Shorts'], ['Dress']]"
71,2903585943224128984,"[['2022-08-13_01-33-59_UTC_3.jpg'], ['2903585943224128984_1.jpg'], ['2903585943224128984_2.jpg']]","[['Dress'], ['Top'], ['Blouse']]"
